x,y,overlap.area
-35.09480202,-34.99845492,0
-31.15065555,-24.21674317,0
-34.66258658,-18.66329553,0
-30.81849343,-6.177752779,48.77445856
-35.14635728,2.433713988,18.81017805
-33.19061864,5.309768247,61.52476045
-30.68749768,16.46452625,171.7745572
-34.87852479,25.89461084,35.13505955
-34.32790003,30.05416143,49.55326024
-31.21232779,44.59164911,155.9008805
-33.07644545,49.7721326,87.70870788
-31.10977459,54.03867144,159.9926675
-34.48391761,63.25036702,45.30661809
-29.03386595,75.31405304,249.3893313
-31.75193679,85.53686903,134.9243856
-33.83184093,90.76876487,63.84207087
-34.09804477,96.62328352,56.02917898
-32.38792526,104.6165869,111.4570513
-29.61970362,113.4044716,222.9586952
-33.48022668,126.1840011,74.65011571
-29.3258881,127.9916582,236.102921
-34.73253034,142.5805716,38.80018705
-29.94877616,151.3629682,208.5113476
-35.45077289,153.3471203,21.97761846
-36.86301872,166.1622588,0.581172574
-32.76278871,169.4299496,98.30379798
-34.48438006,181.4014978,45.29421463
-32.32270405,186.7868104,113.7982371
-31.31791385,199.121855,151.722612
-35.0409395,204.2373938,31.19943742
-34.60335708,215.7277698,42.13998202
-36.25396395,224.2272062,7.36845504
-30.8675531,232.7297305,169.7861631
-36.80926255,236.7825919,0.954712131
-30.2039823,248.6518757,197.5120467
-33.01839658,256.0059794,89.64049391
-36.32494827,266.8277355,6.344071559
-35.29532597,274.4255053,25.35083734
-35.85243528,283.1027941,14.03426094
-34.16286483,285.3336081,54.17704985
-32.27412264,294.9245906,115.5520506
-32.36525269,305.9392403,112.2691679
-35.98831221,309.5723497,11.62345071
-35.24000006,323.7350534,26.58889808
-29.70673228,327.6666071,219.1093448
-33.27607057,336.3714193,81.16881143
-32.74352264,347.1649885,98.96698804
-35.23386445,355.0060666,26.72738276
-32.18012395,362.0412574,118.9693107
-35.57369548,372.5761373,19.42431477
-31.96890436,381.9070873,126.7611162
-35.95603701,391.0856393,12.18247742
-34.85025883,398.6565122,35.8354022
-32.59426106,407.5416917,104.1524916
-33.33060413,408.3593106,79.41054126
-31.94628163,420.6493886,127.6048098
-34.26457198,426.8872031,51.31175509
-28.95616188,437.6064338,252.9613119
-34.46798589,446.4256448,45.73459605
-33.70792814,456.0716642,67.588971
-31.08846857,459.6646411,160.8468713
-29.63919908,471.3340795,222.0946299
-31.44995197,479.7411292,146.5475019
-34.3481372,485.3896925,48.99550635
-36.6328588,496.6324683,2.547750022
-36.64631667,506.5645008,2.409088677
-31.9188719,511.6985174,128.6293772
-33.78295881,516.3341165,65.31197979
-29.61735886,531.5594456,223.0626866
-36.99756277,532.1820284,0.001380051
-31.29079298,540.7988739,152.7924775
-36.75841054,553.6263742,1.360647922
-34.27917094,557.9291246,50.90461555
-33.74055513,572.6126112,66.59574858
-33.44034148,578.8249108,75.90990402
-31.93035482,586.9936512,128.1998366
-33.9319064,596.3289561,60.86682006
-33.09520629,603.0496524,87.0872418
-28.9609418,613.2122937,252.7411444
-30.82566547,621.1451589,171.4978995
-29.0104173,627.2610166,250.4656372
-33.57845474,635.877843,71.57647926
-35.18387675,642.4379434,27.86435064
-35.31403607,652.7066814,24.93653777
-34.02624646,658.423969,58.10397578
-34.6805069,669.5701467,40.13448716
-36.09874274,676.4849534,9.777651863
-29.61220126,681.6720926,223.2914806
-34.51669812,689.9149014,44.43013788
-33.57713388,698.4025242,71.61753499
-36.10479301,708.425367,9.679598461
-30.04940441,715.3828093,204.1526127
-35.4690378,724.6756173,21.59172324
-28.7666289,730.6701254,256.0027435
-30.0957813,742.803946,149.0715719
-34.81020736,749.8673686,18.70813391
-34.0935585,760.0529416,3.489255934
-35.6688444,770.120816,0
-31.3558466,771.2234453,0
-29.58315965,780.9649309,0
-25.83375556,-32.9280647,0
-27.54233708,-25.29192236,0
-28.3410662,-19.18736013,7.98532736
-28.67476995,-12.1729256,39.93150739
-26.2653699,0.546474035,198.5461796
-22.05432926,6.815623724,410.9239353
-26.45878165,19.71865685,359.3361125
-23.52620363,25.63906135,530.4219117
-25.4087627,36.61823873,430.7317607
-25.15420888,39.9424808,444.4855496
-28.6280776,49.1543278,268.2091659
-28.1223228,57.87710472,292.2268486
-22.56865957,65.85337029,590.6253272
-20.91826795,73.56916993,689.4216323
-26.38716358,84.5178371,379.0285156
-25.8979516,93.38489256,404.6461674
-26.30140079,97.07898738,383.4848068
-24.80541746,110.6756885,463.5257321
-26.33043861,114.6080923,381.9743131
-28.40831608,126.3044559,278.5701934
-22.25426986,132.1982275,609.1365897
-22.65106471,136.9548496,585.7983462
-21.72832877,150.961543,640.4351152
-21.59403811,158.9346427,648.4916186
-22.12206892,167.2287786,616.9652198
-28.14868951,172.717686,290.9597165
-20.94186788,179.9686067,687.9815091
-25.87108212,190.2809706,406.0669422
-21.02355382,200.5483494,683.0027526
-24.32374738,202.17205,490.1799236
-20.58665278,217.9431414,709.7377319
-23.74788634,221.4443993,522.5765309
-22.55021193,231.1850244,591.7073544
-28.7395687,236.4919279,262.9976957
-28.19574143,243.7698212,288.7025465
-22.46980667,253.7137133,596.4295428
-23.9898303,264.9577668,508.8963662
-28.50134193,275.4321104,274.170077
-24.93382841,279.3006278,456.4900336
-22.56616078,292.3257394,590.7718607
-27.0689493,296.3318711,344.1431989
-22.67335731,308.9554111,584.4943343
-23.04441169,309.2460847,562.9035242
-24.44585512,323.4043323,483.3839756
-28.42150536,332.5277024,277.9450758
-27.5649367,337.6516201,319.3887159
-26.17028826,342.826861,390.326206
-21.05913569,353.7081017,680.8369162
-23.24365574,366.2245699,551.4000603
-24.08167809,374.4486258,503.7290604
-23.64969438,380.5645275,528.1566199
-25.17165102,390.5874246,443.5392744
-21.29733964,398.2093453,666.3830172
-21.83107632,401.4129222,634.2886363
-22.32994028,408.3596274,604.6673909
-23.02409044,418.6727302,564.0803493
-25.39369756,430.2074071,431.5423594
-24.74160686,439.5897958,467.0330461
-22.14025711,448.8111097,615.8866054
-22.76087761,455.5185232,579.3822753
-23.81964448,462.5561619,518.5088336
-23.39707876,473.7392151,542.5857393
-22.8510506,474.3596214,574.1277752
-27.05959681,489.4409486,344.6151153
-24.19137282,496.2703233,497.5766567
-21.80100578,503.5141354,636.0858992
-25.06089251,513.7854426,449.5577376
-21.71136807,522.4068288,641.4512006
-25.0599765,524.8476021,449.6076066
-26.53916621,532.8851826,371.1671901
-21.4083894,542.9613208,659.6718857
-21.7426666,553.2606376,639.5764876
-22.25221861,561.383268,609.2578593
-23.40841247,564.9267318,541.9361241
-26.02461642,575.7408331,397.9676315
-22.42697663,586.9140612,598.9489825
-26.11974802,597.2430078,392.9725802
-24.97920043,600.6419684,454.0112561
-23.75195831,607.2315259,522.3454752
-25.22479075,617.8161764,440.6598086
-25.8390764,623.1599096,407.7611484
-25.39545726,632.6337177,431.4476541
-28.18053484,638.9020759,289.4314667
-24.7338141,654.3298107,467.4618733
-26.38005612,661.3567882,379.3972567
-27.29868332,664.9512503,332.6103628
-28.0502772,678.2816811,295.6974988
-22.32014712,687.9927536,605.2453012
-22.87593601,689.6383751,572.6799143
-27.2810498,698.2796434,333.4915191
-21.4563038,705.7296054,656.7816434
-23.73527217,716.9734173,523.2924727
-26.81234745,721.4164976,357.158654
-21.3635889,732.3209775,581.8045032
-28.01320413,737.5619087,251.7016569
-21.99699524,752.2280189,278.8207671
-26.26080205,759.1445388,98.071575
-22.1538985,765.8885569,90.25941651
-25.76687331,772.4454731,7.865133472
-21.15273861,784.851119,0
-20.01316545,-31.76655148,0
-19.99954478,-20.59135018,64.36471228
-19.11614476,-13.48641144,170.8693534
-17.82872888,-9.508409537,263.6703411
-12.85263031,0.969589841,632.8163682
-18.60389285,8.972345072,578.8569166
-18.71175235,12.65520387,635.7819086
-19.81994701,23.01427498,715.377609
-18.97699443,29.63298947,806.8718042
-15.79146894,41.92274978,1018.366932
-16.65026897,52.86706832,961.2504063
-20.4062072,57.19891208,720.8546587
-18.85827447,62.71027568,817.9334742
-16.72136124,73.41422234,956.5549071
-16.6441024,82.46961837,961.6579358
-15.26696893,90.9828557,1053.595462
-18.17025832,101.9424478,862.0131243
-13.15122551,104.0620142,1198.128083
-17.1571732,113.9853394,927.8833663
-20.44195579,123.9421516,718.648815
-15.32025975,134.0031908,1050.004586
-19.24572059,144.1646284,793.3557739
-19.86379495,151.6688215,754.5287522
-18.22132706,155.166571,858.7225963
-19.39546714,167.3701976,783.9052969
-20.39466755,176.7328786,721.5670661
-16.21785504,183.2734686,989.919185
-18.54570792,192.5188768,837.8910341
-12.8608003,197.1292202,1218.247954
-12.77508086,202.0207235,1224.198389
-18.02103601,216.3944499,871.644821
-13.27638986,219.5313785,1189.476722
-19.48473538,228.732177,778.2847104
-13.95406865,240.6603906,1142.848063
-17.18031565,243.6381177,926.3663548
-19.57999005,257.2244279,772.2980906
-12.82536895,266.4944582,1220.706854
-13.80537786,268.8858227,1153.047649
-20.03321666,283.8368042,743.9698031
-18.70618586,292.0941324,827.6301229
-14.43618596,294.7820136,1109.901764
-18.1156166,303.251143,865.5371274
-19.95076536,312.0448412,749.1038637
-17.85417947,323.2733191,882.4441351
-19.90493823,326.1745144,751.9611852
-19.27378304,341.4899429,791.5826694
-17.70408101,343.9289175,892.1850517
-20.17856991,356.8331407,734.9403331
-13.36662079,361.9385455,1183.247424
-12.63137125,373.5030945,1234.186469
-19.83405532,375.6195329,756.3860108
-13.24088998,391.41512,1191.929256
-16.43882187,397.4142907,975.2460534
-13.2164571,402.0425885,1193.61778
-13.50907715,408.2623714,1173.425485
-19.32571424,419.4876679,788.303973
-15.95492305,424.9789232,1007.440961
-13.23789558,437.0920643,1192.136171
-12.53388433,448.4822372,1240.970541
-15.04082139,450.1733614,1068.862376
-19.82546021,458.0718192,756.9229899
-13.1870125,465.7403689,1195.653264
-17.80721747,478.7842379,885.489165
-16.02622535,489.0246431,1002.682793
-13.89987416,497.5161058,1146.563512
-20.11748634,501.3593078,738.7315649
-15.75613264,507.8590032,1020.732287
-16.41234045,520.1767786,977.0019938
-19.65459339,531.1428152,767.6172762
-17.66834591,531.6954492,894.5077752
-17.07066805,546.4484268,933.5588236
-18.04616777,548.3456392,870.020921
